celsr1b	ZDB-GENE-050823-4
map4k6	ZDB-GENE-060512-339
syne1b	ZDB-GENE-071218-4
BX255915.2	
or133-5	
cpne4a	ZDB-GENE-060503-427
gfod2	ZDB-GENE-061103-64
BX548073.11	
wtap	ZDB-GENE-030131-5990
pax4	ZDB-GENE-041210-244
myh9a	ZDB-GENE-030131-5870
CR407598.2	
CABZ01088025.2	
BX649399.6	
nek6	ZDB-GENE-040724-133
mhc1lia	ZDB-GENE-140820-10
b4galnt3a	ZDB-GENE-060503-519
cryba1l2	ZDB-GENE-041010-40
BX537143.1	
slc25a33	ZDB-GENE-040426-2183
dsg2.1	ZDB-GENE-030131-7531
carmil1	ZDB-GENE-081104-77
metrnla	ZDB-GENE-040426-1917
akap12a	ZDB-GENE-110310-3
nmur1b	ZDB-GENE-131121-154
oxnad1	ZDB-GENE-060503-199
LO018183.1	
relb	ZDB-GENE-030131-9531
exd3	ZDB-GENE-091204-349
si:dkey-51a16.9	ZDB-GENE-030616-560
cpeb1b	ZDB-GENE-990927-1
vamp2	ZDB-GENE-030131-8225
BX322793.1	
otol1a	ZDB-GENE-050707-1
si:dkey-172j4.3	ZDB-GENE-081104-24
FP016247.1	
CR936416.1	
BX465844.1	
elmsan1b	
gc2	ZDB-GENE-011128-8
LO018409.1	
AL929469.2	
hapln1a	ZDB-GENE-050302-175
psip1b	ZDB-GENE-030131-3273
FP325130.1	
pglyrp2	ZDB-GENE-071227-1
znf740a	ZDB-GENE-030131-5064
CABZ01084575.1	
rab6a	ZDB-GENE-040426-2849
abca2	ZDB-GENE-050517-1
CU570800.3	
LO017848.1	
defbl1	ZDB-GENE-070207-1
ftr85	ZDB-GENE-070705-22
CABZ01117510.1	
CR318646.1	
si:dkey-165o8.1	ZDB-GENE-131118-7
nagpa	ZDB-GENE-070928-4
kcnf1b	ZDB-GENE-090312-39
BX005361.2	
stard7	ZDB-GENE-030131-2310
CR456684.3	
march6	
cxcr2	ZDB-GENE-100414-1
BX908386.1	
arhgef25b	ZDB-GENE-080225-17
BX663524.1	
SBNO2	
si:ch211-209a2.2	
foxj1b	ZDB-GENE-041212-76
AL732488.3	
calhm2.1	ZDB-GENE-030616-561
mctp1a	ZDB-GENE-110125-3
leng9	ZDB-GENE-061013-607
znf622	ZDB-GENE-050927-1
si:ch73-25f10.6	ZDB-GENE-100922-192
si:dkey-189g17.2	
si:ch211-149b19.4	ZDB-GENE-110411-90
ccdc17	ZDB-GENE-120424-1
pkn1b	ZDB-GENE-070424-87
si:ch211-264f5.6	ZDB-GENE-081104-208
mgst3a	ZDB-GENE-040426-2767
pimr105	
col14a1b	ZDB-GENE-030131-1985
zgc:171470	ZDB-GENE-080204-4
si:dkey-24c2.9	
CABZ01069324.1	
fundc1	ZDB-GENE-040718-466
arhgap4b	ZDB-GENE-090311-38
pcnx1	ZDB-GENE-081113-6
zwi	ZDB-GENE-030131-8155
BX511078.1	
nocta	ZDB-GENE-050208-306
glt8d1	ZDB-GENE-041114-23
CCNB1IP1	
cdx1a	ZDB-GENE-050510-1
CU019662.2	
BX470197.1	
rps6kb1a	ZDB-GENE-091113-52
tax1bp1b	ZDB-GENE-030131-2872
eef1b2	ZDB-GENE-030131-7310
setd4	ZDB-GENE-050808-2
pcsk5b	ZDB-GENE-070822-7
BX324206.1	
CR931815.1	
mboat2b	ZDB-GENE-041001-185
abca3b	ZDB-GENE-050517-2
stt3a	ZDB-GENE-021015-3
ftr69	ZDB-GENE-090508-10
gal3st1a	ZDB-GENE-060526-375
tmem26b	ZDB-GENE-080204-66
utp11	ZDB-GENE-030131-8093
CABZ01088229.1	
cacna1eb	ZDB-GENE-070705-133
CR382300.3	
si:dkey-177p2.6	ZDB-GENE-030131-5926
BX663613.1	
C1H4orf33	
magixb	
capn2a	ZDB-GENE-050320-69
hdac7a	ZDB-GENE-150129-1
si:dkey-256i11.2	
rbm38	ZDB-GENE-030131-5923
CABZ01117348.1	
BX511308.1	
CABZ01002690.1	
mettl16	ZDB-GENE-040801-130
cep350	ZDB-GENE-030131-6975
znf574	ZDB-GENE-100922-259
CABZ01102201.1	
BX664605.2	
nrg3b	ZDB-GENE-130603-38
nipsnap3a	ZDB-GENE-040426-1037
CABZ01045760.1	
setd2	ZDB-GENE-030131-2140
CR450836.1	
CR927368.1	
CU469526.1	
atp6v0e1	ZDB-GENE-041010-133
tafa5a	ZDB-GENE-041210-344
zgc:174224	ZDB-GENE-071004-118
hspbap1	ZDB-GENE-040808-38
slc6a18	ZDB-GENE-080219-9
BX927327.1	
ehmt2	ZDB-GENE-010501-6
FO904860.1	
CABZ01087560.1	
myl12.1	ZDB-GENE-030131-4918
mrpl40	ZDB-GENE-040912-37
mb21d2	ZDB-GENE-081104-150
CR352285.1	
si:ch211-202n12.2	
sagb	ZDB-GENE-050913-98
pnisr	ZDB-GENE-030131-362
BX511129.2	
CU571382.2	
eif4eb	ZDB-GENE-041121-14
BX072564.1	
tusc2a	ZDB-GENE-061013-612
gnrhr4	ZDB-GENE-050419-76
CABZ01052530.1	
mipol1	ZDB-GENE-030131-41
txndc11	ZDB-GENE-041008-112
pcolce2a	ZDB-GENE-070705-25
FP017161.1	
atg10	ZDB-GENE-051030-72
zranb2	ZDB-GENE-040426-2743
zgc:195077	ZDB-GENE-080724-9
si:dkey-33i11.4	
BX908777.3	
otud4	ZDB-GENE-030131-5338
nipa1	ZDB-GENE-041010-164
tmem255a	ZDB-GENE-070412-2
gata2b	ZDB-GENE-040718-440
slc17a6a	ZDB-GENE-050105-4
BX255896.1	
DMWD	
l3mbtl3	ZDB-GENE-040724-127
si:ch211-59h6.1	
CU929304.1	
serpina10a	ZDB-GENE-041014-246
LO018422.1	
vil1	ZDB-GENE-040426-799
ralgapb	ZDB-GENE-130530-945
BX908757.1	
BX322661.2	
si:ch73-208h1.1	
slc2a13b	ZDB-GENE-090812-1
CABZ01084564.1	
loxl5a	ZDB-GENE-070705-186
larp6a	ZDB-GENE-030131-6403
BX530075.2	
vps33a	ZDB-GENE-040914-82
CR456642.1	
bicra	ZDB-GENE-031116-2
CR381540.2	
AL731788.1	
proser3	ZDB-GENE-030131-5986
UBA6	
BX511268.1	
cdadc1	ZDB-GENE-041114-163
lrrc4.2	ZDB-GENE-030131-7997
ift20	ZDB-GENE-040614-2
maza	ZDB-GENE-110603-4
BX571853.1	
tbcelb	ZDB-GENE-100921-13
hbl2	ZDB-GENE-070912-286
FO744883.1	
cdk7	ZDB-GENE-010320-2
zdhhc24	ZDB-GENE-040718-8
akap13	ZDB-GENE-030131-6253
CT954240.1	
gipc3	ZDB-GENE-060616-326
CU633933.1	
hsd17b8	ZDB-GENE-010110-1
BX323051.1	
DAB2	
hiat1a	
rbmx2	ZDB-GENE-050626-88
zgc:152977	
cdyl	ZDB-GENE-070912-561
CU138542.1	
FO704848.1	
frmd6	ZDB-GENE-050522-354
FP085432.1	
BX548038.1	
ttc27	ZDB-GENE-030102-1
BX548044.1	
BX601644.5	
sparta	ZDB-GENE-080204-37
BX324227.1	
akr7a3	ZDB-GENE-040718-62
sik1	ZDB-GENE-030131-9446
lrrc23	ZDB-GENE-041010-153
drll.1	ZDB-GENE-060531-124
CR925723.2	
HTR7	
si:dkey-211f22.5	
BX511089.3	
nphp4	ZDB-GENE-060503-715
glyr1	ZDB-GENE-041121-5
si:dkey-262g12.7	
CU459186.2	
si:dkey-73p2.2	ZDB-GENE-131119-50
usp2b	ZDB-GENE-100208-2
chrng	ZDB-GENE-030131-3805
phlda3	ZDB-GENE-030616-267
lrrtm4l1	ZDB-GENE-080327-15
fbxl3a	ZDB-GENE-030912-5
si:ch211-11p18.6	
pepd	ZDB-GENE-030131-9444
CABZ01077217.1	
slc35d1a	ZDB-GENE-040826-5
CR749776.1	
BX666064.1	
snapin	ZDB-GENE-060503-343
agtrap	ZDB-GENE-050309-11
si:dkey-26i13.3	
si:dkey-28k24.2	
itpa	ZDB-GENE-070705-218
gpr158b	ZDB-GENE-130530-875
plekhm2	ZDB-GENE-081022-169
cers4a	ZDB-GENE-020808-1
dock1	ZDB-GENE-080108-5
fgd1	ZDB-GENE-081104-33
rad50	ZDB-GENE-050506-110
si:ch211-87j1.4	
fmodb	ZDB-GENE-080327-28
gpat3	ZDB-GENE-040718-436
ccdc114	
cst14a.2	ZDB-GENE-040426-1065
CR759887.3	
si:ch211-245j22.3	ZDB-GENE-050419-38
msrb1a	ZDB-GENE-030411-3
pck1	ZDB-GENE-030909-11
pold1	ZDB-GENE-060429-1
pip5k1ab	ZDB-GENE-041111-123
btbd10b	ZDB-GENE-080104-5
ch25h	ZDB-GENE-041212-81
si:dkey-19c16.12	
wipf2b	ZDB-GENE-040625-182
hcrt	ZDB-GENE-040324-1
BX465186.2	
si:ch211-22d5.2	
zgc:113176	ZDB-GENE-050327-60
zgc:174653	ZDB-GENE-080218-2
AP1S2	
si:dkey-9i23.5	ZDB-GENE-090313-364
plekha3	ZDB-GENE-040426-1252
pitpnbl	ZDB-GENE-040426-2791
BX649394.10	
oclna	ZDB-GENE-040426-2685
slc16a1b	ZDB-GENE-030515-5
specc1la	ZDB-GENE-060810-139
CR354430.3	
si:ch211-276k2.1	ZDB-GENE-081022-201
CR376786.1	
cela1.6	ZDB-GENE-040808-55
itga3a	ZDB-GENE-090805-3
slc49a4	ZDB-GENE-040912-167
igf1	ZDB-GENE-010607-2
ccl34b.3	
BX511261.2	
smpdl3b	ZDB-GENE-041008-132
BX004779.2	
myl12.2	ZDB-GENE-030131-9028
C25H12orf73	
CR932017.1	
cyp4f3	ZDB-GENE-070410-108
osgep	ZDB-GENE-030131-7880
zgc:153704	ZDB-GENE-060929-1114
mrps23	ZDB-GENE-040801-134
ppig	ZDB-GENE-040426-2822
BX664752.1	
BX004770.1	
cacnb4a	ZDB-GENE-080320-2
sec63	ZDB-GENE-040718-328
meis3	ZDB-GENE-010406-2
BX248089.2	
dre-mir-219-2	
CABZ01077220.3	
cpa2	ZDB-GENE-040801-182
si:dkey-30c15.10	
ponzr2	ZDB-GENE-050411-41
znf1064	
ing5a	ZDB-GENE-031016-1
BX571706.1	
limk2	ZDB-GENE-040718-398
grm1b	ZDB-GENE-090821-3
bud31	ZDB-GENE-040720-3
pvalb8	ZDB-GENE-030805-3
sema3fa	ZDB-GENE-050513-1
BX649324.2	
zfpl1	ZDB-GENE-040426-1255
CU467862.1	
ext1a	ZDB-GENE-050211-3
ugt5b1	ZDB-GENE-100406-3
kcnk5b	ZDB-GENE-040426-1297
sbf2	ZDB-GENE-030911-10
si:dkey-1h24.2	
CU179729.1	
aldh3a2b	ZDB-GENE-040912-103
si:ch211-180a12.2	ZDB-GENE-121214-236
CR678095.1	
pnkd	ZDB-GENE-050208-278
CR753874.1	
si:ch211-145h19.3	
ptgis	ZDB-GENE-070116-1
si:dkey-71l4.3	ZDB-GENE-120703-25
CU896630.1	
MDFIC2	
mrm3b	ZDB-GENE-030131-158
BX548041.1	
elmo1	ZDB-GENE-040426-2069
CR855311.6	
BX546453.2	
zgc:195356	ZDB-LINCRNAG-030131-6619
prr12a	ZDB-GENE-041111-223
chrdl2	ZDB-GENE-081104-305
gstm.1	ZDB-GENE-030911-2
bpnt1	ZDB-GENE-040718-46
tfap2c	ZDB-GENE-041212-61
mbd1b	ZDB-GENE-030131-6318
ptdss2	ZDB-GENE-130424-2
minpp1b	ZDB-GENE-040426-888
CABZ01101739.1	
CU571076.1	
casr	ZDB-GENE-050119-8
sybl1	ZDB-GENE-040426-1055
apba1b	ZDB-GENE-070925-3
CU467861.5	
lmo7b	ZDB-GENE-060825-242
csnk2a1	ZDB-GENE-990415-27
CR388156.1	
G3BP2	
ran	ZDB-GENE-990415-88
ubac2	ZDB-GENE-070112-2122
cers5	ZDB-GENE-030131-1740
sorcs2	ZDB-GENE-130530-825
shisa3	ZDB-GENE-070112-2022
rassf6	ZDB-GENE-030616-513
si:ch211-40k21.5	ZDB-GENE-131121-368
FP236822.2	
stk35	ZDB-GENE-061103-553
gbp2	ZDB-GENE-070912-618
CR318588.4	
BX284638.2	
si:ch211-8c17.4	
arnt	ZDB-GENE-060126-7
emc9	ZDB-GENE-040426-693
zc3h3	ZDB-GENE-030131-9399
CR936974.1	
galnt13	ZDB-GENE-091204-444
zgc:173575	ZDB-GENE-080218-25
zgc:158432	ZDB-GENE-061201-57
BX000981.4	
rab9b	ZDB-GENE-091118-112
sema3b	ZDB-GENE-081105-78
dhrs11b	
pard6b	ZDB-GENE-090312-133
BX649522.1	
pde8b	ZDB-GENE-091117-3
chadlb	ZDB-GENE-121205-5
rab7a	ZDB-GENE-040426-1352
znf516	ZDB-GENE-060503-194
slc17a5	ZDB-GENE-060929-1158
hoxb5a	ZDB-GENE-980526-70
zgc:175136	ZDB-GENE-080204-122
CT573048.1	
cfap45	ZDB-GENE-070209-143
BX323060.3	
galnt2	ZDB-GENE-041111-110
slc22a5	ZDB-GENE-091012-1
CR456628.2	
prpf38b	ZDB-GENE-040426-2878
gab2	ZDB-GENE-130530-756
CR956623.2	
foxb1b	ZDB-GENE-990415-77
tfeb	ZDB-GENE-090807-3
scpp1	ZDB-GENE-090424-1
ppp1r3cb	ZDB-GENE-040426-1733
BX530017.1	
pex7	ZDB-GENE-050320-105
ptp4a1	ZDB-GENE-041121-11
sypl2a	ZDB-GENE-040426-1434
si:dkey-7j22.2	
dre-mir-429b	
PCDH8	
itga8	ZDB-GENE-080220-48
ldhbb	ZDB-GENE-040718-176
slc2a5	ZDB-GENE-060222-2
nptxra	ZDB-GENE-050208-280
si:ch211-122h15.4	
LO018029.1	
psmd1	ZDB-GENE-040426-810
BX571681.3	
s1pr5b	ZDB-GENE-061201-27
CU539064.1	
BX927341.5	
si:ch211-93e11.8	
slc25a6	ZDB-GENE-070912-446
AL929266.1	
cx43.4	
calml4b	ZDB-GENE-071009-6
dre-let-7c-2	
vps4b	ZDB-GENE-040426-1235
CABZ01057364.2	
slc25a1b	ZDB-GENE-130114-1
atg3	ZDB-GENE-030131-8576
pfkla	ZDB-GENE-121207-1
hsd3b7	ZDB-GENE-030131-5673
si:ch211-57b15.1	ZDB-GENE-141210-17
BX511136.1	
BX927288.1	
si:dkey-264f17.1	
si:ch211-1f22.2	
CU469568.4	
slc52a3	
FP017160.1	
st8sia5	ZDB-GENE-060322-8
ankmy1	ZDB-GENE-050208-740
BX511056.1	
BX321887.14	
man1a2	ZDB-GENE-070912-390
klhdc2	ZDB-GENE-070410-69
BX465228.2	
BX323574.2	
bace1	ZDB-GENE-040426-1835
CU104741.1	
BX511109.1	
trip6	ZDB-GENE-140106-91
hist1h2a1	ZDB-GENE-121214-150
adgrf3b	ZDB-GENE-041001-207
irf4b	ZDB-GENE-041001-131
CR846090.1	
fgfr1b	ZDB-GENE-060503-14
pgfb	ZDB-GENE-131127-445
psmc1b	ZDB-GENE-040625-69
ntpcr	ZDB-GENE-040801-200
pimr118	ZDB-GENE-141215-61
si:ch211-215e19.6	
g6pca.1	
sil1	ZDB-GENE-160113-49
CABZ01030291.2	
cyp2k20	ZDB-GENE-091113-5
glmnb	ZDB-GENE-080723-14
sgms1	
top1	
BX901930.3	
lin54	ZDB-GENE-060929-440
erich2	ZDB-GENE-131231-2
CABZ01086755.1	
dre-mir-184-2	ZDB-MIRNAG-090929-289
C5H12orf65	
ctnna2	ZDB-GENE-060815-3
si:ch73-27e22.2	
CABZ01046427.2	
dram2b	ZDB-GENE-040625-141
mafaa	ZDB-GENE-010605-3
slc27a6	ZDB-GENE-060825-27
stx5al	ZDB-GENE-030131-1825
bahcc1a	ZDB-GENE-170301-1
tpd52l2a	ZDB-GENE-030131-7047
fndc1	ZDB-GENE-041210-332
vps8	ZDB-GENE-060503-348
ccdc65	ZDB-GENE-030616-358
AL954142.3	
traf2a	ZDB-GENE-071120-2
col18a1a	ZDB-GENE-030516-3
BX005462.2	
cdh29	
gb:ai877918	ZDB-GENE-090506-8
BX649628.1	
tgm5l	ZDB-GENE-110411-176
adra1ab	ZDB-GENE-060503-384
sf3b4	ZDB-GENE-020419-22
mccc2	ZDB-GENE-040426-2493
her7	ZDB-GENE-000427-6
acoxl	ZDB-GENE-081107-18
serinc2l	ZDB-GENE-100921-58
BX649411.1	
matn3a	ZDB-GENE-040822-21
ywhae2	ZDB-GENE-050306-44
mlpha	ZDB-GENE-050208-724
CABZ01023231.1	
gig2h	ZDB-GENE-130517-5
si:dkey-33c9.8	
BX927361.2	
pdk3a	ZDB-GENE-061220-3
CR847523.2	
muc5.2	ZDB-GENE-121108-1
si:dkey-205i10.1	
trpt1	ZDB-GENE-050227-16
BX294383.1	
BX323880.1	
kcna1a	ZDB-GENE-110408-15
si:ch211-1i11.3	ZDB-GENE-030131-8638
depdc7a	ZDB-GENE-060512-176
FO681286.1	
cacnb3b	ZDB-GENE-090127-1
CABZ01022569.1	
tacr2	ZDB-GENE-090312-188
AL954655.2	
BX296530.1	
ankrd54	ZDB-GENE-040718-318
irf2a	ZDB-GENE-030131-4135
CR387921.1	
suclg1	ZDB-GENE-040912-101
CR812469.1	
zgc:113343	ZDB-GENE-050327-90
bub1bb	ZDB-GENE-030829-51
micos10	ZDB-GENE-060825-325
pes	ZDB-GENE-990415-206
CU660013.2	
phf13	ZDB-GENE-121113-2
BX004784.1	
BX088707.3	
tmem243b	ZDB-GENE-040426-2205
poldip2	ZDB-GENE-030131-5881
CABZ01064402.1	
ubl3a	ZDB-GENE-030131-3431
rpl10a	ZDB-GENE-030131-2025
si:cabz01007816.2	
neto1l	ZDB-GENE-091207-1
loc564481	ZDB-GENE-060130-7
STRADB	
CU929037.1	
LO018597.2	
BX537162.1	
BX571711.10	
pam16	ZDB-GENE-040426-1776
usp36	ZDB-GENE-030131-5450
ptger3	ZDB-GENE-120508-5
igic1s1	ZDB-GENE-051013-12
pnrc1	ZDB-GENE-040724-189
cxcr5	
klhl41a	ZDB-GENE-081105-22
AL929014.1	
cryba2b	ZDB-GENE-040718-324
CU459089.1	
BX119963.3	
hadhaa	ZDB-GENE-031222-5
tafa5l	ZDB-GENE-050419-194
BX511034.3	
CABZ01086877.1	
p4htm	
CABZ01052423.1	
atp2a1	ZDB-GENE-020905-1
si:ch211-203b8.6	
CR388050.1	
mtrf1	ZDB-GENE-050220-8
BX927385.2	
smg6	ZDB-GENE-081107-52
agla	ZDB-GENE-071004-6
ern1	ZDB-GENE-050522-431
mis18a	ZDB-GENE-091204-314
nkl.4	ZDB-GENE-030131-7503
si:dkey-6i22.5	ZDB-GENE-050506-32
CABZ01052527.1	
si:dkey-237m9.2	
snx3	ZDB-GENE-030131-921
zgc:163061	ZDB-GENE-070410-132
FP102122.3	
fscn1a	ZDB-GENE-031009-1
BX957362.4	
spata4	ZDB-GENE-050417-153
ifnphi2	ZDB-GENE-071128-1
si:dkey-16p21.7	
BX927300.1	
slc7a6	ZDB-GENE-000607-21
ecscr	ZDB-GENE-050411-37
prlra	ZDB-GENE-080103-2
si:dkeyp-94g1.1	ZDB-GENE-030131-7910
nsd3	ZDB-GENE-050324-2
atp2b3a	ZDB-GENE-040718-174
CR769772.2	
dre-mir-430b-6	ZDB-MIRNAG-090929-262
pex11a	ZDB-GENE-050419-121
BX601644.2	
limk1a	ZDB-GENE-061212-3
tmem101	ZDB-GENE-121214-289
tle2b	ZDB-GENE-050208-677
BDKRB2	
CABZ01058277.1	
ccnyl1	ZDB-GENE-060929-732
BX001051.1	
BX296526.2	
CR786571.3	
sesn2	ZDB-GENE-070108-1
CABZ01078666.1	
trim2a	ZDB-GENE-050327-99
pex14	ZDB-GENE-060130-169
CABZ01090041.1	
cog5	ZDB-GENE-041210-47
slc2a3b	ZDB-GENE-121031-5
si:dkey-163f12.10	
BMERB1	
znf668	ZDB-GENE-041001-46
ptprt	ZDB-GENE-101028-4
slc47a2.1	ZDB-GENE-070112-1472
RASSF4	
pcdh2aa15	ZDB-GENE-041118-15
si:dkeyp-104f11.8	
sb:cb470	ZDB-GENE-030131-9856
klhl2	ZDB-GENE-090312-193
sat2b	ZDB-GENE-040718-292
scinlb	ZDB-GENE-040426-2068
LO018362.1	
coq9	ZDB-GENE-061207-37
zbtb8a	ZDB-GENE-060421-5153
pfdn5	ZDB-GENE-030131-6858
FO904943.1	
pdcd4a	ZDB-GENE-040426-1920
AL773596.1	
pitx3	ZDB-GENE-041229-4
BX005229.1	
rrp12	ZDB-GENE-050706-182
ftcd	ZDB-GENE-030131-9643
pcdh1gb9	ZDB-GENE-041118-18
AL935047.1	
LO017722.1	
si:ch211-210c8.6	ZDB-GENE-030131-3630
si:ch211-79k12.1	ZDB-GENE-080303-9
flvcr1	ZDB-GENE-041014-359
moxd1l	ZDB-GENE-060126-3
CU469584.1	
LO018585.2	
xrcc5	ZDB-GENE-041008-108
BX927216.1	
si:ch1073-272j17.3	
rgmd	ZDB-GENE-030131-561
BX000524.1	
gipc2	ZDB-GENE-040426-921
rab3gap2	ZDB-GENE-030616-610
nlk2	ZDB-GENE-080320-1
hnrnpul1l	ZDB-GENE-030131-890
tmprss2	ZDB-GENE-041212-48
zgc:162509	ZDB-GENE-050809-100
CT027805.2	
si:dkey-238j22.1	
rhobtb1	ZDB-GENE-130530-871
FAM72B	
arid1ab	ZDB-GENE-030131-5725
cdk14	ZDB-GENE-080220-44
rpap1	ZDB-GENE-090914-1
BX321880.1	
mfsd1	ZDB-GENE-051120-153
TMEM132D	
ACBD3	
best4	
si:ch73-361p23.3	ZDB-GENE-130530-906
mark3a	ZDB-GENE-030131-6232
pcdh2ab6	ZDB-GENE-041118-5
cds1	ZDB-GENE-070705-78
ftr60	
bmp2b	ZDB-GENE-980526-474
CR388190.2	
atp5md	ZDB-GENE-110914-234
AL772362.1	
BX927253.2	
dlgap1a	ZDB-GENE-030616-580
si:ch211-207e19.15	
imp3	ZDB-GENE-040426-1062
vwa5b2	ZDB-GENE-070912-216
ercc1	ZDB-GENE-040426-2606
mrpl41	ZDB-GENE-050522-200
BX640576.1	
si:ch211-139l2.1	
CR388002.1	
pcdh1g33	ZDB-GENE-071004-76
CR925757.1	
snx22	ZDB-GENE-060825-154
CU571310.1	
gpr34b	ZDB-GENE-040823-1
BX510920.3	
neurod2	ZDB-GENE-010608-3
gsg1l	ZDB-GENE-050913-27
gpc5c	ZDB-GENE-141112-1
zfpm2a	ZDB-GENE-060130-4
si:ch73-61d6.3	ZDB-GENE-091204-109
gc	ZDB-GENE-040718-307
ifrd2	ZDB-GENE-040801-140
BX927336.1	
SLC66A2	
ro60	ZDB-GENE-051113-300
dars1	ZDB-GENE-061110-135
pms1	ZDB-GENE-030616-528
LO018355.1	
caiap	ZDB-GENE-041014-19
sdad1	ZDB-GENE-021213-1
poc5	ZDB-GENE-060526-135
BX323543.3	
CABZ01079853.1	
rhogb	ZDB-GENE-030131-8877
CABZ01068208.1	
efcab11	ZDB-GENE-050417-348
limch1a	ZDB-GENE-090312-153
cax2	ZDB-GENE-100825-2
csrp1a	ZDB-GENE-030909-4
si:ch211-13f8.1	ZDB-GENE-061207-4
CR388172.10	
ighv4-6	ZDB-GENE-030924-7
si:ch211-255f4.9	
LO017725.1	
gigyf2	ZDB-GENE-050706-185
BX510940.1	
niban1b	ZDB-GENE-070912-688
ttll6	ZDB-GENE-080107-1
ryr1b	ZDB-GENE-070705-417
CR450833.3	
cnrip1b	ZDB-GENE-080722-33
BX005220.1	
arl16	ZDB-GENE-070410-114
angptl5	ZDB-GENE-030131-5054
sumo2b	ZDB-GENE-040801-7
srsf5a	ZDB-GENE-030131-7336
gnaia	ZDB-GENE-030131-2229
wnt7aa	ZDB-GENE-051129-1
lhx9	ZDB-GENE-050417-210
bsk146	ZDB-GENE-060313-3
fasn	ZDB-GENE-030131-7802
dlgap5	ZDB-GENE-040912-160
si:dkeyp-77c8.2	
serinc4	ZDB-GENE-121031-1
BX005361.6	
si:dkey-14d8.1	ZDB-GENE-041210-86
acox1	ZDB-GENE-041010-219
mettl25	ZDB-GENE-041210-90
rnf25	ZDB-GENE-040426-1581
gcgra	ZDB-GENE-050516-1
crybb1	ZDB-GENE-010813-1
si:ch211-175l6.1	ZDB-GENE-060503-861
rab34b	ZDB-GENE-091118-61
btbd16	ZDB-GENE-100513-3
FP016012.1	
si:ch211-119d14.2	
CU693502.1	
fkbp1aa	ZDB-GENE-030131-7275
chordc1a	ZDB-GENE-050626-79
AL954187.2	
CR812470.2	
BX649262.1	
fam149b1	ZDB-GENE-070112-2102
BX640584.1	
rhov	ZDB-GENE-031002-10
CR926128.14	
si:ch1073-266p11.2	
plxdc1	ZDB-GENE-081104-391
CR848833.1	
edrf1	ZDB-GENE-131121-620
cds2	ZDB-GENE-030717-4
npnta	ZDB-GENE-090312-201
slc4a1b	ZDB-GENE-110215-2
hexim1	ZDB-GENE-030131-4637
nav1b	ZDB-GENE-120215-84
sash3	ZDB-GENE-130411-1
pimr51	ZDB-GENE-070912-464
FO905027.1	
rabep1	ZDB-GENE-060526-165
ksr1b	ZDB-GENE-040724-45
CT027609.1	
CU075928.1	
stk39	ZDB-GENE-140106-194
BX548173.1	
BX323028.1	
comta	ZDB-GENE-050913-117
fmnl3	ZDB-GENE-030131-1571
nsmce4a	ZDB-GENE-050522-111
pfkfb1	ZDB-GENE-030131-5664
TNC	
pxdc1b	ZDB-GENE-091204-294
alg2	ZDB-GENE-060502-2
rgs9a	ZDB-GENE-060929-92
BX510336.1	
BX571762.1	
twist3	ZDB-GENE-000210-7
lpar4	ZDB-GENE-120201-1
ANKRD50	
CR392001.1	
CR352220.1	
tmem67	ZDB-GENE-080716-1
BX511231.1	
CR524827.1	
sez6b	ZDB-GENE-110628-3
ecpas	ZDB-GENE-061207-66
si:dkey-58f10.6	ZDB-GENE-060526-320
ttyh2	ZDB-GENE-040718-193
capn1a	ZDB-GENE-040426-1263
desi1b	ZDB-GENE-040426-936
si:dkey-22l1.1	
rgs17	ZDB-GENE-040718-229
si:dkey-96n2.1	
dnajb9a	ZDB-GENE-050626-115
CR318588.2	
AL954149.2	
faah2b	ZDB-GENE-061027-358
ognb	ZDB-GENE-080723-61
rpl7	ZDB-GENE-030131-8654
rpp14	ZDB-GENE-050522-182
CR788229.1	
znf1111	
dre-mir-124-6	
aasdhppt	ZDB-GENE-050913-36
cks2	ZDB-GENE-050208-508
AL954648.1	
tmem86b	ZDB-GENE-060825-132
rbm8a	ZDB-GENE-050306-51
zgc:92162	
pimr47	ZDB-GENE-090312-19
vsig8b	ZDB-GENE-081104-51
f2rl2	ZDB-GENE-110127-4
BX323820.1	
vac14	ZDB-GENE-040912-82
si:ch211-216l23.2	ZDB-GENE-030131-3806
BX469912.9	
CR855277.1	
CR848665.1	
AL929349.1	
nitr7b	ZDB-GENE-041001-8
pkmb	ZDB-GENE-040801-230
unc45a	ZDB-GENE-050417-158
mtbl	ZDB-GENE-110414-3
FP085393.1	
cyp2x10.2	ZDB-GENE-060818-12
si:dkey-83k24.5	
BX957336.2	
nitr1b	
traf3ip2l	ZDB-GENE-110919-1
ctsll	ZDB-GENE-041010-76
ccdc191	ZDB-GENE-050102-4
BX530037.4	
dre-mir-2191	
cbfb	ZDB-GENE-980526-440
BX248331.1	
CABZ01117780.1	
BX908777.6	
atp6v1c2	ZDB-GENE-131127-65
si:dkey-29p23.2	
cxcl18a.1	ZDB-GENE-090303-1
gask1b	ZDB-GENE-100105-1
FQ311908.1	
CR925757.2	
CU695207.1	
zgc:158463	ZDB-GENE-070410-9
mmp25a	ZDB-GENE-070820-22
si:dkey-203a12.2	
ier5l	ZDB-GENE-030131-5134
rasgef1bb	ZDB-GENE-040801-220
olfml3a	ZDB-GENE-060825-31
mnta	ZDB-GENE-090807-2
zgc:77375	ZDB-GENE-040426-1827
BX908803.2	
traf4b	ZDB-GENE-040305-2
mrps30	ZDB-GENE-050809-4
