gene_name,sample,start,end
pcp4a,TDR126,39010680,39011842
rps25,TDR126,39130056,39131067
slc37a4b,TDR126,39153371,39154754
ei24,TDR126,39199520,39199953
stt3a,TDR126,39211799,39213769
foxred1,TDR126,39248454,39249550
cry5,TDR126,39281979,39282304
dcps,TDR126,39283508,39284524
kcnj1b,TDR126,39303826,39304441
smfn,TDR126,39893326,39894025
git2b,TDR126,40283230,40284351
pitpnb,TDR126,4045703,4046938
zgc:113625,TDR126,40792032,40792785
zgc:113625,TDR126,40818856,40820698
pcna,TDR126,40825576,40827282
trim69,TDR126,40836133,40837074
bmp1b,TDR126,40938941,40939722
anxa4,TDR126,41158806,41159814
adrb3b,TDR126,41199063,41199434
prlhr2b,TDR126,41252326,41252919
brf2,TDR126,41302166,41302993
brf2,TDR126,41303275,41303685
gpat4,TDR126,41399475,41400598
cabp1b,TDR126,41449843,41450722
rnf34b,TDR126,41765331,41766762
orai1b,TDR126,41913606,41914852
morn3,TDR126,41939361,41940427
morn3,TDR126,41940611,41941339
tmem120b,TDR126,41945703,41946315
car15,TDR126,42038911,42039259
dgcr2,TDR126,42086496,42087706
ess2,TDR126,42107128,42108257
stambpa,TDR126,42130757,42131550
stambpa,TDR126,42132190,42132474
dusp11,TDR126,42146297,42147627
tcf7l1a,TDR126,42297133,42298078
dbnla,TDR126,42357361,42357583
dbnla,TDR126,42357776,42358638
zgc:86599,TDR126,42374386,42375300
plppr1,TDR126,4240544,4240870
npy8ar,TDR126,42462633,42463359
march5l,TDR126,42519393,42520170
actr1,TDR126,42520991,42522653
kctd9b,TDR126,42541768,42543179
fgfr1b,TDR126,42589216,42589862
stc1l,TDR126,42684424,42684927
zgc:100918,TDR126,42759044,42761027
wdr45,TDR126,42775353,42776590
zcchc9,TDR126,42898104,42899120
atg10,TDR126,43036605,43037838
tmem167a,TDR126,43116616,43116920
tmem167a,TDR126,43117017,43117794
xrcc4,TDR126,43117017,43117794
xrcc4,TDR126,43118193,43118825
vcanb,TDR126,43188252,43188586
mir9-2,TDR126,43534988,43536564
mef2ca,TDR126,43655019,43656374
cetn3,TDR126,43720659,43721756
arrdc3b,TDR126,43770852,43771604
nr2f1b,TDR126,43796470,43797712
sept5b,TDR126,43963425,43964194
cldn5b,TDR126,43993771,43994902
acads,TDR126,44016816,44017723
crybb1,TDR126,44027038,44027708
cryba4,TDR126,44040909,44041292
cryba4,TDR126,44041821,44042348
grk3,TDR126,44055500,44057744
sbno1,TDR126,44356693,44358343
kmt5aa,TDR126,44362543,44363635
snrnp35,TDR126,44372948,44374289
rilpl1,TDR126,44389261,44390521
hcar1-1,TDR126,44457300,44457562
ccdc62,TDR126,44466672,44467335
npm2b,TDR126,44560181,44560567
ubc,TDR126,44691483,44693294
scarb1,TDR126,44699283,44700134
tacr1b,TDR126,44787865,44788652
zgc:114173,TDR126,44902720,44903980
tuba7l,TDR126,44923465,44924705
mir430a-1,TDR126,4492606,4493088
il1b,TDR126,44955080,44955831
il1b,TDR126,44956405,44956671
purbb,TDR126,44979896,44981472
h2afvb,TDR126,44984644,44985002
ved,TDR126,45001603,45002416
polm,TDR126,45028495,45029992
gnsb,TDR126,45031194,45031917
mrps24,TDR126,45058387,45059003
nudcd3,TDR126,45058387,45059003
nudcd3,TDR126,45059458,45060164
ppiab,TDR126,45344924,45346200
palm2-akap2,TDR126,4717715,4718289
palm2-akap2,TDR126,4874440,4875547
snx30,TDR126,4961167,4963067
lyrm7,TDR126,4964369,4964625
mat2al,TDR126,4979211,4980263
mat2al,TDR126,4980668,4981321
si:ch73-234b20.5,TDR126,4986941,4988099
hnrnpd,TDR126,5016167,5017518
hnrnpdl,TDR126,5023946,5024703
hnrnpdl,TDR126,5025281,5026076
sec31a,TDR126,5135072,5136164
zgc:113274,TDR126,5135072,5136164
cdc42se2,TDR126,5158879,5160067
npffr1l3,TDR126,518070,518680
sptlc1,TDR126,5233501,5234701
nfil3,TDR126,5412974,5413549
nfil3,TDR126,5413967,5415738
auh,TDR126,5422097,5422944
st8sia4,TDR126,5685135,5685361
smad4a,TDR126,573025,574282
il6st,TDR126,5820978,5821964
zgc:173602,TDR126,589290,589544
hmgcs1,TDR126,6012699,6013905
tln1,TDR126,6121327,6122686
tpm2,TDR126,6317842,6318394
zgc:114200,TDR126,6382946,6384647
rfx3,TDR126,640319,641846
dcp2,TDR126,6493221,6494253
reep5,TDR126,6495721,6496897
chd1,TDR126,6586959,6588957
zgc:194281,TDR126,6774550,6775521
ddx4,TDR126,6883835,6884822
glis3,TDR126,689739,690403
slc38a9,TDR126,6906605,6907950
fut10,TDR126,7254957,7255886
nrg1,TDR126,7386014,7386631
dyrk1aa,TDR126,73877,77382
vps26c,TDR126,73877,77382
nrg1,TDR126,7471633,7472604
ppp2cb,TDR126,7592459,7593712
hint1,TDR126,7636176,7637128
ubxn8,TDR126,7636176,7637128
fam136a,TDR126,7670484,7672181
pcyox1,TDR126,7670484,7672181
gmcl1,TDR126,7701524,7702160
gmcl1,TDR126,7702484,7703434
snx24,TDR126,7733648,7734720
mpx,TDR126,7786567,7786873
mat2aa,TDR126,7819920,7821989
slc35e4,TDR126,7908991,7909993
ewsr1a,TDR126,7987202,7988550
si:ch211-251f6.6,TDR126,8060515,8060724
zgc:173443,TDR126,8079658,8079916
sub1a,TDR126,8090404,8091699
mtrex,TDR126,8196608,8198460
hvcn1,TDR126,8401538,8402525
aplnrb,TDR126,8619230,8620072
aplnrb,TDR126,8624624,8624931
aplnrb,TDR126,8628569,8631331
aplnrb,TDR126,8634489,8635212
pmaip1,TDR126,8656040,8657104
isl1l,TDR126,8680290,8681115
unc5c,TDR126,882999,883908
fstb,TDR126,8967895,8968747
snx18b,TDR126,9092609,9093499
antxr2b,TDR126,9194671,9195626
paqr3b,TDR126,9221936,9223500
anxa3b,TDR126,9269003,9269866
anxa3b,TDR126,9270163,9270810
mrrf,TDR126,9345814,9346526
rbm18,TDR126,9345814,9346526
lhx6,TDR126,9372480,9374536
morn5,TDR126,9409630,9410805
ndufa8,TDR126,9409630,9410805
si:ch211-243g18.2,TDR126,9549910,9550446
slc6a1b,TDR126,1023839,1024638
ect2,TDR126,10455698,10456610
b3gnt5a,TDR126,10540884,10541297
elmo2,TDR126,105715,107656
psmd14,TDR126,10850068,10851419
LOC100003140,TDR126,1087821,1088724
lgsn,TDR126,11267539,11268977
ptp4a1,TDR126,11267539,11268977
col9a1a,TDR126,11300902,11301531
mrpl4,TDR126,11330608,11331296
zgc:77929,TDR126,11336007,11337419
krt93,TDR126,11459054,11459476
krt94,TDR126,11470922,11471684
krt98,TDR126,11503785,11504393
krt15,TDR126,11517723,11518669
myg1,TDR126,11581,12947
jupa,TDR126,11719218,11720215
cdc6,TDR126,11792034,11792974
zgc:64002,TDR126,11974410,11976007
sp2,TDR126,12006439,12008264
socs7,TDR126,12049910,12051804
socs7,TDR126,12052187,12052813
mrpl45,TDR126,12103891,12105051
npepps,TDR126,12157455,12158554
npepps,TDR126,12158813,12159191
krt95,TDR126,12198237,12198824
ap1s2,TDR126,12718821,12719276
ap1s2,TDR126,12719469,12720957
rbb4l,TDR126,12743757,12745132
txlng,TDR126,12800431,12802251
txlng,TDR126,12802544,12802832
arfgap1,TDR126,128048,129444
rtel1,TDR126,12811512,12812335
zgpat,TDR126,12859804,12861371
atp2b2,TDR126,1291046,1291757
chrna4b,TDR126,12997896,12998639
ptgfr,TDR126,13032539,13033085
btf3l4,TDR126,13040874,13041885
elovl1b,TDR126,13125933,13127258
elovl1b,TDR126,13151546,13152520
mob3c,TDR126,13166593,13167163
mknk1,TDR126,13175106,13175609
mknk1,TDR126,13175951,13177861
atp5f1b,TDR126,13207517,13209119
homer3b,TDR126,13423333,13423547
homer3b,TDR126,13423824,13424988
arrdc2,TDR126,13527673,13529049
sid1,TDR126,13618270,13618852
wdr18,TDR126,13641563,13642416
iars,TDR126,1392069,1394113
rpl29,TDR126,1400132,1401330
zgc:172352,TDR126,140780,140984
med16,TDR126,14103904,14104952
cdk4,TDR126,141380,141645
zgc:172352,TDR126,141380,141645
cdk4,TDR126,142051,142500
ptbp1b,TDR126,14320641,14321323
si:ch211-262i1.6,TDR126,14342721,14344216
sgta,TDR126,14812315,14813239
elavl1b,TDR126,15000892,15001984
phactr3b,TDR126,1509231,1509831
acot8,TDR126,1512171,1513406
srsf6b,TDR126,1521852,1523352
rpn2,TDR126,15295950,15297453
ift52,TDR126,1532106,1534184
ghrh,TDR126,15435470,15435692
cdk5rap1,TDR126,15480194,15480838
mybl2b,TDR126,1550627,1550826
mybl2b,TDR126,1551051,1552490
gdf11,TDR126,15612937,15614010
rap1ab,TDR126,15874480,15875158
pank4,TDR126,15877813,15878719
draxin,TDR126,15930909,15931309
zgc:173544,TDR126,16019187,16021591
agtrap,TDR126,16040066,16040634
ctbs,TDR126,16070284,16070757
rpf1,TDR126,16115313,16116064
arpc4l,TDR126,16151516,16153486
tada3l,TDR126,16151516,16153486
hmces,TDR126,16164938,16165137
hmces,TDR126,16165634,16166743
rab7a,TDR126,16213899,16215337
slc25a26,TDR126,16216731,16217082
kbtbd8,TDR126,16574335,16575270
tafa4b,TDR126,17713370,17714431
tmf1,TDR126,17782218,17783030
tmf1,TDR126,17783518,17783935
uba3,TDR126,17802230,17803206
uba3,TDR126,17803501,17803727
cishb,TDR126,17963680,17964850
twf2b,TDR126,17981259,17981811
rpusd4,TDR126,17983973,17984807
tmcc1b,TDR126,18215915,18217021
mustn1b,TDR126,18252683,18253603
stimate,TDR126,18282419,18283775
prkcdb,TDR126,18383838,18384661
prkcdb,TDR126,18384961,18385492
dido1,TDR126,18555709,18557587
id1,TDR126,18704405,18705632
zgc:175264,TDR126,18818429,18819521
magi1b,TDR126,18872542,18873884
rhol,TDR126,19097342,19097709
rhol,TDR126,19098563,19098876
adamts9,TDR126,19157572,19158365
adamts9,TDR126,19158892,19159891
prickle2b,TDR126,19433516,19434743
psmd6,TDR126,19501951,19502875
slc2a9l1,TDR126,19501951,19502875
nr1d4b,TDR126,1955611,1956463
thoc7,TDR126,19602867,19603547
namptb,TDR126,19773920,19775356
fezf2,TDR126,20029721,20032121
fezf2,TDR126,20055557,20056119
fezf2,TDR126,20056517,20057938
cdh4,TDR126,20370461,20371477
hoxc6b,TDR126,2061099,2061812
mir196c,TDR126,2061099,2061812
rargb,TDR126,2061099,2061812
rargb,TDR126,2063337,2064010
rargb,TDR126,2087868,2088971
zgc:162182,TDR126,20898489,20899253
slc6a14,TDR126,21014139,21014721
slc6a14,TDR126,21015554,21015934
fmoda,TDR126,21031660,21032427
zgc:113307,TDR126,21049621,21050025
il19l,TDR126,21096265,21096483
il10,TDR126,21136890,21137099
il10,TDR126,21137847,21138240
mapkapk2a,TDR126,21216866,21218291
dyrk3,TDR126,21266504,21267749
calcoco1b,TDR126,2131217,2131418
hoxc6b,TDR126,2132775,2133790
mir196c,TDR126,2132775,2133790
hoxc6b,TDR126,2139104,2139684
mir196c,TDR126,2139104,2139684
ikbke,TDR126,21403527,21404370
hoxc13b,TDR126,2156086,2156897
zgc:101564,TDR126,21584730,21586857
hoxc12b,TDR126,2171782,2172892
mir196c,TDR126,2188716,2189059
hoxc6b,TDR126,2189571,2191016
mir196c,TDR126,2189571,2191016
foxp4,TDR126,21909849,21910840
hoxc6b,TDR126,2198425,2199269
mir196c,TDR126,2198425,2199269
hoxc6b,TDR126,2200634,2200925
mir196c,TDR126,2200634,2200925
hoxc6b,TDR126,2201628,2201910
mir196c,TDR126,2201628,2201910
hoxc6b,TDR126,2202504,2203551
mir196c,TDR126,2202504,2203551
hoxc6b,TDR126,2205486,2206046
mir196c,TDR126,2205486,2206046
hoxc6b,TDR126,2207066,2207816
mir196c,TDR126,2207066,2207816
tfeb,TDR126,22311860,22312207
tmem183a,TDR126,22371379,22372217
tmem183a,TDR126,22372459,22372693
ppfia4,TDR126,22374267,22374995
hnrnpa1a,TDR126,2249569,2250998
myog,TDR126,22598820,22599697
si:ch211-86h15.1,TDR126,22622775,22623621
mdm4,TDR126,22915655,22917395
atp2b4,TDR126,23079355,23081156
optc,TDR126,23218934,23219645
csf1a,TDR126,23263774,23264549
csf1a,TDR126,23264898,23265389
kiss1,TDR126,23321940,23323091
dusp7,TDR126,235837,237345
nfasca,TDR126,23809679,23810431
igfbp6a,TDR126,2391481,2392106
cntn2,TDR126,23931861,23932159
cntn2,TDR126,23932323,23933671
zc3h11a,TDR126,24033674,24034891
maf1,TDR126,24045284,24046543
trib3,TDR126,24063037,24064217
ube2v1,TDR126,2416010,2416868
sox12,TDR126,24191655,24192187
pnp4a,TDR126,24289945,24290144
rem1,TDR126,24305824,24306227
rem1,TDR126,24312956,24314505
rem1,TDR126,24316069,24316351
rem1,TDR126,24326381,24326759
